Dataset,Batch Size,Optimizer,Learning Rate,F1 Score,F1 Score,Precision,Precision,Recall,Recall,Test Accuracy,Test Accuracy
,,,,ResNet18,ResNet50,ResNet18,ResNet50,ResNet18,ResNet50,ResNet18,ResNet50
FashionMNIST,16,Adam,0.0001,0.88213225,0.85759675,0.885637,0.8615762499999999,0.8816785,0.85764275,88.16785725,85.764286
FashionMNIST,16,Adam,0.001,0.8886855,0.8636505,0.89250225,0.86732425,0.888268,0.86301775,88.82678575,86.30178575
FashionMNIST,16,SGD,0.0001,0.8771785,0.82878275,0.87747425,0.829882,0.87744625,0.831893,87.744643,83.18928575
FashionMNIST,16,SGD,0.001,0.89459225,0.8639304999999999,0.89577275,0.8730709999999999,0.8949285,0.86907125,89.49285725,86.907143
FashionMNIST,32,Adam,0.0001,0.8875905,0.84544875,0.889066,0.8482185,0.8881785,0.8477319999999999,88.81785725,84.77321425
FashionMNIST,32,Adam,0.001,0.89403175,0.850932,0.8952942500000001,0.8589055,0.89423225,0.853232,89.42321425,85.3232145
FashionMNIST,32,SGD,0.0001,0.86612725,0.80637125,0.86689575,0.80843025,0.86691075,0.81025,86.69107149999999,81.02500025
FashionMNIST,32,SGD,0.001,0.89229375,0.86922825,0.893579,0.87165675,0.8924645,0.8697502500000001,89.24642825,86.975
MNIST,16,Adam,0.0001,0.98561225,0.9685772500000001,0.985672,0.9690347500000001,0.985625,0.9685715,98.5625,96.85714275000001
MNIST,16,Adam,0.001,0.98554425,0.95819075,0.98565375,0.961903,0.9855535,0.958607,98.5553575,95.8607145
MNIST,16,SGD,0.0001,0.98135075,0.9699387500000001,0.9813905,0.97011075,0.9813572500000001,0.969982,98.13571425,96.99821425
MNIST,16,SGD,0.001,0.98722225,0.98243,0.987305,0.9825665,0.98723225,0.98244675,98.72321425,98.24464275
MNIST,32,Adam,0.0001,0.98264,0.9608075,0.98278175,0.96123225,0.9826429999999999,0.960839,98.2642855,96.08392875
MNIST,32,Adam,0.001,0.97716425,0.9720202499999999,0.9785634999999999,0.972675,0.9773035,0.97201775,97.730357,97.20178575
MNIST,32,SGD,0.0001,0.97399775,0.9525875,0.97406375,0.952819,0.974018,0.952607,97.4017855,95.2607145
MNIST,32,SGD,0.001,0.987051,0.98259975,0.987078,0.98268075,0.9870535,0.982607,98.70535724999999,98.2607145
