Dataset,Batch Size,Optimizer,Learning Rate,Pin Memory,Epochs,Model,Test Accuracy,Training Time (s),Model Path,F1 Score,Precision,Recall
MNIST,16,SGD,0.001,False,2,ResNet18,98.457143,117.831768,models/MNIST_ResNet18_bs16_SGD_lr0.001_pinFalse_ep2.pth,0.984559,0.984693,0.984571
MNIST,16,SGD,0.001,False,2,ResNet50,97.942857,199.775231,models/MNIST_ResNet50_bs16_SGD_lr0.001_pinFalse_ep2.pth,0.979402,0.979619,0.979429
MNIST,16,SGD,0.001,False,5,ResNet18,98.892857,247.30047,models/MNIST_ResNet18_bs16_SGD_lr0.001_pinFalse_ep5.pth,0.988922,0.988969,0.988929
MNIST,16,SGD,0.001,False,5,ResNet50,98.55,480.436959,models/MNIST_ResNet50_bs16_SGD_lr0.001_pinFalse_ep5.pth,0.98548,0.985588,0.9855
MNIST,16,SGD,0.0001,False,2,ResNet18,97.907143,98.520843,models/MNIST_ResNet18_bs16_SGD_lr0.0001_pinFalse_ep2.pth,0.979063,0.979101,0.979071
MNIST,16,SGD,0.0001,False,2,ResNet50,96.235714,191.944703,models/MNIST_ResNet50_bs16_SGD_lr0.0001_pinFalse_ep2.pth,0.962295,0.962366,0.962357
MNIST,16,SGD,0.0001,False,5,ResNet18,98.442857,247.152719,models/MNIST_ResNet18_bs16_SGD_lr0.0001_pinFalse_ep5.pth,0.984422,0.984445,0.984429
MNIST,16,SGD,0.0001,False,5,ResNet50,97.907143,477.926027,models/MNIST_ResNet50_bs16_SGD_lr0.0001_pinFalse_ep5.pth,0.979051,0.97912,0.979071
MNIST,16,Adam,0.001,False,2,ResNet18,98.364286,111.907283,models/MNIST_ResNet18_bs16_Adam_lr0.001_pinFalse_ep2.pth,0.983615,0.983765,0.983643
MNIST,16,Adam,0.001,False,2,ResNet50,92.957143,218.974356,models/MNIST_ResNet50_bs16_Adam_lr0.001_pinFalse_ep2.pth,0.928042,0.938517,0.929571
MNIST,16,Adam,0.001,False,5,ResNet18,99.014286,279.893863,models/MNIST_ResNet18_bs16_Adam_lr0.001_pinFalse_ep5.pth,0.99015,0.990194,0.990143
MNIST,16,Adam,0.001,False,5,ResNet50,97.414286,547.371051,models/MNIST_ResNet50_bs16_Adam_lr0.001_pinFalse_ep5.pth,0.974149,0.974612,0.974143
MNIST,16,Adam,0.0001,False,2,ResNet18,98.564286,112.079197,models/MNIST_ResNet18_bs16_Adam_lr0.0001_pinFalse_ep2.pth,0.985637,0.985687,0.985643
MNIST,16,Adam,0.0001,False,2,ResNet50,96.257143,219.648397,models/MNIST_ResNet50_bs16_Adam_lr0.0001_pinFalse_ep2.pth,0.962579,0.963046,0.962571
MNIST,16,Adam,0.0001,False,5,ResNet18,98.578571,279.897515,models/MNIST_ResNet18_bs16_Adam_lr0.0001_pinFalse_ep5.pth,0.98575,0.985879,0.985786
MNIST,16,Adam,0.0001,False,5,ResNet50,97.742857,549.730026,models/MNIST_ResNet50_bs16_Adam_lr0.0001_pinFalse_ep5.pth,0.977483,0.977813,0.977429
MNIST,16,SGD,0.001,True,2,ResNet18,98.592857,99.021869,models/MNIST_ResNet18_bs16_SGD_lr0.001_pinTrue_ep2.pth,0.985922,0.986024,0.985929
MNIST,16,SGD,0.001,True,2,ResNet50,97.992857,191.208647,models/MNIST_ResNet50_bs16_SGD_lr0.001_pinTrue_ep2.pth,0.979912,0.980045,0.979929
MNIST,16,SGD,0.001,True,5,ResNet18,98.95,246.66938,models/MNIST_ResNet18_bs16_SGD_lr0.001_pinTrue_ep5.pth,0.989486,0.989534,0.9895
MNIST,16,SGD,0.001,True,5,ResNet50,98.492857,476.937276,models/MNIST_ResNet50_bs16_SGD_lr0.001_pinTrue_ep5.pth,0.984926,0.985014,0.984929
MNIST,16,SGD,0.0001,True,2,ResNet18,97.714286,98.00742,models/MNIST_ResNet18_bs16_SGD_lr0.0001_pinTrue_ep2.pth,0.977135,0.977207,0.977143
MNIST,16,SGD,0.0001,True,2,ResNet50,96.185714,190.47742,models/MNIST_ResNet50_bs16_SGD_lr0.0001_pinTrue_ep2.pth,0.96179,0.962302,0.961857
MNIST,16,SGD,0.0001,True,5,ResNet18,98.478571,246.144697,models/MNIST_ResNet18_bs16_SGD_lr0.0001_pinTrue_ep5.pth,0.984783,0.984809,0.984786
MNIST,16,SGD,0.0001,True,5,ResNet50,97.664286,477.63592,models/MNIST_ResNet50_bs16_SGD_lr0.0001_pinTrue_ep5.pth,0.976619,0.976655,0.976643
MNIST,16,Adam,0.001,True,2,ResNet18,98.321429,111.777622,models/MNIST_ResNet18_bs16_Adam_lr0.001_pinTrue_ep2.pth,0.983209,0.983333,0.983214
MNIST,16,Adam,0.001,True,2,ResNet50,94.757143,219.791688,models/MNIST_ResNet50_bs16_Adam_lr0.001_pinTrue_ep2.pth,0.947435,0.951283,0.947571
MNIST,16,Adam,0.001,True,5,ResNet18,98.521429,281.352159,models/MNIST_ResNet18_bs16_Adam_lr0.001_pinTrue_ep5.pth,0.985203,0.985323,0.985214
MNIST,16,Adam,0.001,True,5,ResNet50,98.314286,550.711372,models/MNIST_ResNet50_bs16_Adam_lr0.001_pinTrue_ep5.pth,0.983137,0.9832,0.983143
MNIST,16,Adam,0.0001,True,2,ResNet18,98.35,112.320751,models/MNIST_ResNet18_bs16_Adam_lr0.0001_pinTrue_ep2.pth,0.983498,0.983524,0.9835
MNIST,16,Adam,0.0001,True,2,ResNet50,95.692857,219.346254,models/MNIST_ResNet50_bs16_Adam_lr0.0001_pinTrue_ep2.pth,0.95684,0.957508,0.956929
MNIST,16,Adam,0.0001,True,5,ResNet18,98.757143,279.80672,models/MNIST_ResNet18_bs16_Adam_lr0.0001_pinTrue_ep5.pth,0.987564,0.987598,0.987571
MNIST,16,Adam,0.0001,True,5,ResNet50,97.735714,549.816527,models/MNIST_ResNet50_bs16_Adam_lr0.0001_pinTrue_ep5.pth,0.977407,0.977772,0.977357
MNIST,32,SGD,0.001,False,2,ResNet18,98.635714,67.730129,models/MNIST_ResNet18_bs32_SGD_lr0.001_pinFalse_ep2.pth,0.98636,0.986401,0.986357
MNIST,32,SGD,0.001,False,2,ResNet50,97.964286,109.956673,models/MNIST_ResNet50_bs32_SGD_lr0.001_pinFalse_ep2.pth,0.979632,0.979748,0.979643
MNIST,32,SGD,0.001,False,5,ResNet18,98.821429,151.387405,models/MNIST_ResNet18_bs32_SGD_lr0.001_pinFalse_ep5.pth,0.988217,0.98824,0.988214
MNIST,32,SGD,0.001,False,5,ResNet50,98.7,269.337849,models/MNIST_ResNet50_bs32_SGD_lr0.001_pinFalse_ep5.pth,0.986984,0.987025,0.987
MNIST,32,SGD,0.0001,False,2,ResNet18,97.028571,60.671276,models/MNIST_ResNet18_bs32_SGD_lr0.0001_pinFalse_ep2.pth,0.970255,0.970373,0.970286
MNIST,32,SGD,0.0001,False,2,ResNet50,93.364286,107.229364,models/MNIST_ResNet50_bs32_SGD_lr0.0001_pinFalse_ep2.pth,0.933532,0.933738,0.933643
MNIST,32,SGD,0.0001,False,5,ResNet18,97.628571,151.944111,models/MNIST_ResNet18_bs32_SGD_lr0.0001_pinFalse_ep5.pth,0.976263,0.976326,0.976286
MNIST,32,SGD,0.0001,False,5,ResNet50,96.821429,266.909596,models/MNIST_ResNet50_bs32_SGD_lr0.0001_pinFalse_ep5.pth,0.968192,0.968242,0.968214
MNIST,32,Adam,0.001,False,2,ResNet18,97.95,67.032001,models/MNIST_ResNet18_bs32_Adam_lr0.001_pinFalse_ep2.pth,0.979437,0.979854,0.9795
MNIST,32,Adam,0.001,False,2,ResNet50,96.042857,120.783194,models/MNIST_ResNet50_bs32_Adam_lr0.001_pinFalse_ep2.pth,0.960422,0.96164,0.960429
MNIST,32,Adam,0.001,False,5,ResNet18,98.778571,167.43934,models/MNIST_ResNet18_bs32_Adam_lr0.001_pinFalse_ep5.pth,0.987774,0.987875,0.987786
MNIST,32,Adam,0.001,False,5,ResNet50,98.535714,301.576922,models/MNIST_ResNet50_bs32_Adam_lr0.001_pinFalse_ep5.pth,0.985354,0.985445,0.985357
MNIST,32,Adam,0.0001,False,2,ResNet18,97.842857,66.254997,models/MNIST_ResNet18_bs32_Adam_lr0.0001_pinFalse_ep2.pth,0.978422,0.978713,0.978429
MNIST,32,Adam,0.0001,False,2,ResNet50,95.257143,120.631417,models/MNIST_ResNet50_bs32_Adam_lr0.0001_pinFalse_ep2.pth,0.95254,0.952824,0.952571
MNIST,32,Adam,0.0001,False,5,ResNet18,98.657143,166.390007,models/MNIST_ResNet18_bs32_Adam_lr0.0001_pinFalse_ep5.pth,0.986566,0.986625,0.986571
MNIST,32,Adam,0.0001,False,5,ResNet50,96.985714,302.119696,models/MNIST_ResNet50_bs32_Adam_lr0.0001_pinFalse_ep5.pth,0.969786,0.970106,0.969857
MNIST,32,SGD,0.001,True,2,ResNet18,98.642857,60.591174,models/MNIST_ResNet18_bs32_SGD_lr0.001_pinTrue_ep2.pth,0.986419,0.986448,0.986429
MNIST,32,SGD,0.001,True,2,ResNet50,97.807143,106.851255,models/MNIST_ResNet50_bs32_SGD_lr0.001_pinTrue_ep2.pth,0.978073,0.978192,0.978071
MNIST,32,SGD,0.001,True,5,ResNet18,98.721429,150.727482,models/MNIST_ResNet18_bs32_SGD_lr0.001_pinTrue_ep5.pth,0.987208,0.987223,0.987214
MNIST,32,SGD,0.001,True,5,ResNet50,98.571429,266.119695,models/MNIST_ResNet50_bs32_SGD_lr0.001_pinTrue_ep5.pth,0.98571,0.985758,0.985714
MNIST,32,SGD,0.0001,True,2,ResNet18,97.035714,60.006474,models/MNIST_ResNet18_bs32_SGD_lr0.0001_pinTrue_ep2.pth,0.970341,0.970416,0.970357
MNIST,32,SGD,0.0001,True,2,ResNet50,93.985714,105.760104,models/MNIST_ResNet50_bs32_SGD_lr0.0001_pinTrue_ep2.pth,0.939961,0.940583,0.939857
MNIST,32,SGD,0.0001,True,5,ResNet18,97.914286,150.185454,models/MNIST_ResNet18_bs32_SGD_lr0.0001_pinTrue_ep5.pth,0.979132,0.97914,0.979143
MNIST,32,SGD,0.0001,True,5,ResNet50,96.871429,264.687076,models/MNIST_ResNet50_bs32_SGD_lr0.0001_pinTrue_ep5.pth,0.968665,0.968713,0.968714
MNIST,32,Adam,0.001,True,2,ResNet18,96.357143,66.750525,models/MNIST_ResNet18_bs32_Adam_lr0.001_pinTrue_ep2.pth,0.963037,0.967317,0.963571
MNIST,32,Adam,0.001,True,2,ResNet50,96.457143,120.518303,models/MNIST_ResNet50_bs32_Adam_lr0.001_pinTrue_ep2.pth,0.964603,0.965661,0.964571
MNIST,32,Adam,0.001,True,5,ResNet18,97.835714,166.513311,models/MNIST_ResNet18_bs32_Adam_lr0.001_pinTrue_ep5.pth,0.978409,0.979208,0.978357
MNIST,32,Adam,0.001,True,5,ResNet50,97.771429,302.218884,models/MNIST_ResNet50_bs32_Adam_lr0.001_pinTrue_ep5.pth,0.977702,0.977954,0.977714
MNIST,32,Adam,0.0001,True,2,ResNet18,98.028571,66.28219,models/MNIST_ResNet18_bs32_Adam_lr0.0001_pinTrue_ep2.pth,0.980289,0.980486,0.980286
MNIST,32,Adam,0.0001,True,2,ResNet50,95.071429,120.871476,models/MNIST_ResNet50_bs32_Adam_lr0.0001_pinTrue_ep2.pth,0.950744,0.951371,0.950714
MNIST,32,Adam,0.0001,True,5,ResNet18,98.528571,166.53549,models/MNIST_ResNet18_bs32_Adam_lr0.0001_pinTrue_ep5.pth,0.985283,0.985303,0.985286
MNIST,32,Adam,0.0001,True,5,ResNet50,97.021429,302.249883,models/MNIST_ResNet50_bs32_Adam_lr0.0001_pinTrue_ep5.pth,0.97016,0.970628,0.970214
FashionMNIST,16,SGD,0.001,False,2,ResNet18,89.4,98.194749,models/FashionMNIST_ResNet18_bs16_SGD_lr0.001_pinFalse_ep2.pth,0.894051,0.894558,0.894
FashionMNIST,16,SGD,0.001,False,2,ResNet50,83.671429,190.701851,models/FashionMNIST_ResNet50_bs16_SGD_lr0.001_pinFalse_ep2.pth,0.820441,0.854032,0.836714
FashionMNIST,16,SGD,0.001,False,5,ResNet18,89.65,245.486545,models/FashionMNIST_ResNet18_bs16_SGD_lr0.001_pinFalse_ep5.pth,0.896473,0.898374,0.8965
FashionMNIST,16,SGD,0.001,False,5,ResNet50,88.7,476.393571,models/FashionMNIST_ResNet50_bs16_SGD_lr0.001_pinFalse_ep5.pth,0.886764,0.886921,0.887
FashionMNIST,16,SGD,0.0001,False,2,ResNet18,87.15,98.319174,models/FashionMNIST_ResNet18_bs16_SGD_lr0.0001_pinFalse_ep2.pth,0.871071,0.870881,0.8715
FashionMNIST,16,SGD,0.0001,False,2,ResNet50,81.292857,190.863646,models/FashionMNIST_ResNet50_bs16_SGD_lr0.0001_pinFalse_ep2.pth,0.807287,0.809795,0.812929
FashionMNIST,16,SGD,0.0001,False,5,ResNet18,88.414286,245.789804,models/FashionMNIST_ResNet18_bs16_SGD_lr0.0001_pinFalse_ep5.pth,0.883466,0.883937,0.884143
FashionMNIST,16,SGD,0.0001,False,5,ResNet50,85.6,478.097382,models/FashionMNIST_ResNet50_bs16_SGD_lr0.0001_pinFalse_ep5.pth,0.854903,0.85414,0.856
FashionMNIST,16,Adam,0.001,False,2,ResNet18,88.364286,111.022882,models/FashionMNIST_ResNet18_bs16_Adam_lr0.001_pinFalse_ep2.pth,0.884508,0.887121,0.883643
FashionMNIST,16,Adam,0.001,False,2,ResNet50,85.907143,219.81765,models/FashionMNIST_ResNet50_bs16_Adam_lr0.001_pinFalse_ep2.pth,0.861324,0.868184,0.859071
FashionMNIST,16,Adam,0.001,False,5,ResNet18,90.571429,277.505263,models/FashionMNIST_ResNet18_bs16_Adam_lr0.001_pinFalse_ep5.pth,0.905674,0.907526,0.905714
FashionMNIST,16,Adam,0.001,False,5,ResNet50,86.378571,547.893189,models/FashionMNIST_ResNet50_bs16_Adam_lr0.001_pinFalse_ep5.pth,0.863902,0.865983,0.863786
FashionMNIST,16,Adam,0.0001,False,2,ResNet18,88.207143,111.234559,models/FashionMNIST_ResNet18_bs16_Adam_lr0.0001_pinFalse_ep2.pth,0.883011,0.886422,0.882071
FashionMNIST,16,Adam,0.0001,False,2,ResNet50,83.557143,219.627407,models/FashionMNIST_ResNet50_bs16_Adam_lr0.0001_pinFalse_ep2.pth,0.834082,0.838974,0.835571
FashionMNIST,16,Adam,0.0001,False,5,ResNet18,89.042857,277.461916,models/FashionMNIST_ResNet18_bs16_Adam_lr0.0001_pinFalse_ep5.pth,0.89028,0.891741,0.890429
FashionMNIST,16,Adam,0.0001,False,5,ResNet50,87.721429,546.449841,models/FashionMNIST_ResNet50_bs16_Adam_lr0.0001_pinFalse_ep5.pth,0.876625,0.878773,0.877214
FashionMNIST,16,SGD,0.001,True,2,ResNet18,88.857143,98.25615,models/FashionMNIST_ResNet18_bs16_SGD_lr0.001_pinTrue_ep2.pth,0.887369,0.888674,0.888571
