Dataset,Kernel,C,Gamma,Test Accuracy (%),F1 Score,Precision,Recall,Training Time (ms)
MNIST,poly,0.1,scale,54.75,0.578604,0.833002,0.5475,39593.338728
MNIST,poly,0.1,auto,38.3,0.415198,0.841698,0.383,41302.342892
MNIST,poly,1.0,scale,91.5,0.918552,0.930848,0.915,22815.172195
MNIST,poly,1.0,auto,87.95,0.887632,0.91548,0.8795,25878.817797
MNIST,poly,10.0,scale,95.5,0.955114,0.955722,0.955,16029.763937
MNIST,poly,10.0,auto,95.35,0.953705,0.954689,0.9535,16236.431122
MNIST,rbf,0.1,scale,89.35,0.894577,0.899443,0.8935,20014.378786
MNIST,rbf,0.1,auto,89.85,0.898856,0.901761,0.8985,19743.942261
MNIST,rbf,1.0,scale,94.85,0.948441,0.948676,0.9485,11361.692667
MNIST,rbf,1.0,auto,95.2,0.951952,0.952157,0.952,10717.605114
MNIST,rbf,10.0,scale,95.6,0.956006,0.956258,0.956,10730.041981
MNIST,rbf,10.0,auto,95.55,0.955471,0.955628,0.9555,9775.640726
FashionMNIST,poly,0.1,scale,69.05,0.716332,0.809386,0.6905,21222.198963
FashionMNIST,poly,0.1,auto,69.05,0.716332,0.809386,0.6905,21332.985163
FashionMNIST,poly,1.0,scale,82.15,0.827252,0.838125,0.8215,11343.184471
FashionMNIST,poly,1.0,auto,82.15,0.827252,0.838125,0.8215,11507.88331
FashionMNIST,poly,10.0,scale,85.15,0.852235,0.85331,0.8515,9358.361483
FashionMNIST,poly,10.0,auto,85.15,0.852235,0.85331,0.8515,9229.094982
FashionMNIST,rbf,0.1,scale,78.65,0.783113,0.784877,0.7865,14453.416824
FashionMNIST,rbf,0.1,auto,78.65,0.783113,0.784877,0.7865,14829.966784
FashionMNIST,rbf,1.0,scale,85.0,0.848744,0.848974,0.85,9352.647066
FashionMNIST,rbf,1.0,auto,85.0,0.848744,0.848974,0.85,9144.469976
FashionMNIST,rbf,10.0,scale,86.3,0.8619,0.861476,0.863,9091.307163
FashionMNIST,rbf,10.0,auto,86.3,0.8619,0.861476,0.863,9032.866955
